Distrito,Establecimiento,Dirección,Teléfono,Precio de Venta (Soles por galón)
BARRANCA,COESTI S.A,AV. CARRETERA PANAMERICANA NORTE KM. 196 (ANTES CARRETERA PANAMERICANA NORTE INTERSECCION CON LA AV. A),012033100/012080100/978854779,16.29
SUPE,CARAL VIP E.I.R.L.,CARRETERA A CARAL SN LOTES 22 AL 29 PREDIO RURAL SAN NICOLAS 10 DE MAYO EL MOLINO,,16.3
PARAMONGA,ESTACION DE SERVICIOS SAN ANTONIO SAC,CARRETERA PATIVILCA-CRUZ KM. 12.5 CENTRO POBLADO DE TUNAN-PAPAMONGA-BARRANCA-LIMA,999913166/943788795,16.47
SUPE,ESTACION DE SERVICIOS CALETA S.A.C.,"PANAMERICANA NORTE KM 182, MZ. A LOTE N° 2, LOS HUACOS CHIRIMOYO EL PORVENIR",922529197,16.49
SUPE,FIDEL SAC,AV. FRANCISCO VIDAL Nº 155 (EX CARRETERA PANAMERICANA NORTE KM. 187.60),987372882,16.5
SUPE,COESTI S.A.,PANAMERICANA NORTE KM. 185,012080100/2033100/978871113,16.69
SUPE,MULTI SERVICIO GASO CENTRO POMPEYO S.A.C,PANAMERICANA NORTE KM 190+400 MT,996627040/972630901,16.7
SUPE,MULTISERVICIOS LUCHINS E.I.R.L.,CARRETERA PANAMERICANA NORTE SUB LOTE D UC 120645 SECTOR LA MINKA,015065056,16.89
BARRANCA,GARCIA ALZAMORA NESTOR JAVIER,LOTE DE TERRENO 259 PAMPAS DE VELARDE,,16.9
SUPE,CORPORATION WILCARDIE S.A.C.,CARRETERA PANAMERICANA NORTE KM 179,,16.99
No existen registros.,No existen registros.,No existen registros.,No existen registros.,No existen registros.
No existen registros.,No existen registros.,No existen registros.,No existen registros.,No existen registros.
No existen registros.,No existen registros.,No existen registros.,No existen registros.,No existen registros.
No existen registros.,No existen registros.,No existen registros.,No existen registros.,No existen registros.
SANTA ROSA DE QUIVES,MEGA ESTACION DE SERVICIOS INVERSOL S.A.,"CARRETERA LIMA-CANTA, KM. 40, ZAPAN P-14, PROYECTO TAHUANTINSUYO",994979790,15.59
SANTA ROSA DE QUIVES,GLODY ZUÑIGA SANCHEZ,"CENTRO POBLADO COCAYALTA, CARRETERA LIMA-CANTA, KM. 48.5 CON JR. JESUS DE NAZARET",985962499/954870703,15.89
SANTA ROSA DE QUIVES,MIOLENA S.A.,CARRETERA LIMA – CANTA KM. 36.85,,15.99
SANTA ROSA DE QUIVES,GRIFO SAN IGNACIO S.A.C,"PREDIO RURAL UBICA RURAL CE 288944 CN 8780634 CODIGO PREDIO/8-2858705 - 00030 UNIDAD CATASTRAL 00030/PREDIO PARCELA 31, LT1",,15.99
SANTA ROSA DE QUIVES,GRIFO YANGAS,PREDIO BENDITA MAGDALENA UC 04169,947929540/983864995,16.18
SANTA ROSA DE QUIVES,GASOCENTRO TADUP SAC,KM. 39.5 CARRETERA A CANTA - PUEBLO TRAPICHE,951524995/981657561,17.29
CANTA,EMPRESA INDUSTRIAL COMERCIAL Y DE SERVICIOS MATILDE LEON S.A.,CALLE RAMON CASTILLA S/N ESQUINA AV. NUEVA,,18.0
SANTA ROSA DE QUIVES,MEGA ESTACION DE SERVICIOS INVERSOL S.A.,"CARRETERA LIMA-CANTA, KM. 40, ZAPAN P-14, PROYECTO TAHUANTINSUYO",994979790,14.58
SANTA ROSA DE QUIVES,MIOLENA S.A.,CARRETERA LIMA – CANTA KM. 36.85,,14.85
SANTA ROSA DE QUIVES,GRIFO YANGAS,PREDIO BENDITA MAGDALENA UC 04169,947929540/983864995,14.88
SANTA ROSA DE QUIVES,GRIFO SAN IGNACIO S.A.C,"PREDIO RURAL UBICA RURAL CE 288944 CN 8780634 CODIGO PREDIO/8-2858705 - 00030 UNIDAD CATASTRAL 00030/PREDIO PARCELA 31, LT1",,14.99
SANTA ROSA DE QUIVES,GASOCENTRO TADUP SAC,KM. 39.5 CARRETERA A CANTA - PUEBLO TRAPICHE,951524995/981657561,16.19
SANTA ROSA DE QUIVES,GLODY ZUÑIGA SANCHEZ,"CENTRO POBLADO COCAYALTA, CARRETERA LIMA-CANTA, KM. 48.5 CON JR. JESUS DE NAZARET",985962499/954870703,16.89
