Distrito,Establecimiento,Dirección,Teléfono,Precio de Venta (Soles por galón)
PUENTE PIEDRA,PETRO EXPLORIUM S.A.C.,KM. 25 DE LA CARRETERA PANAMERICANA NORTE,994992758,14.58
PUENTE PIEDRA,SERVICENTRO PASAMAYO S.A.C.,"CARRETERA PANAMERICANA NORTE KM. 34 Y CALLE SANTA ROSA MZ. K-1, LOTE 12, CENTRO POBLADO ZAPALLAL",015502618/995622427/946180584,14.59
PUENTE PIEDRA,GRIFO SAN BARTOLOME E.I.R.L.,"CALLE TACNA ESQUINA CON CALLE ABANCAY MZ. 77, LOTES 1 Y 2, AA.HH. SANTA ROSA",999411623,14.6
CARABAYLLO,VERPASAR S.A.C,"AV. LAS LOMAS DE CARABAYLLO MZ- B LTES 14,15 Y 16 - PROGRAMA DE VIVIENDA SAN JOSE",983043666/954131333,14.65
COMAS,FILSE S.A.C.,AV. METROPOLITANA N° 1905,015369596/992763709,14.69
COMAS,FULL OILS PETRO SOCIEDAD ANONIMA CERRADA-FULL OILS PETRO S.A.C.,AV. REVOLUCION N° 783 PRIMERA ZONA - COLLIQUE,014467967,14.69
LURIGANCHO,GRIFOS LOS DELFINES JR,"CARRETERA CENTRAL (AV. LIMA SUR) ESQUINA CON PASAJE JACARANDAES, SUB LOTE 34-B1, B2, B3",994979790,14.69
PUENTE PIEDRA,SERVICENTRO PASAMAYO S.A.C.,AV. PERIURBANA Nº 1007 (PREDIO RURAL ZAPALLAL ALTO - EL DORADO),,14.69
ATE,EMPRESA DE SERVICIOS Y TRANSPORTES EL NEGRO E.I.R.L.,"MZ A LT 1,2,3,4,5 Y 6 DEL PROGRAMA DE VIVIENDA Y COMERCIO LAS PRADERAS DE PARIACHI",013592881/996503352,14.7
LURIGANCHO,SAN PEDRO COMBUSTIBLES S.R.L.,CALLE LIMA SUR N° 1529 (EX CARRETERA CENTRAL) PARTE DEL LOTE 43 DEL FUNDO MOYOPAMPA,996186824,14.73
LURIGANCHO,CLARIGO S.A.C.,"AV. LAS FLORES Nº 750, URB. SANTA MARIA",013602151/013601043,14.73
LURIGANCHO,ATS AMERICA SAC,AV. LIMA SUR Nº 895 - CHOSICA,015342336/994038205/977343458,14.73
LIMA,GRIFO J.H.P. E.I.R.LTDA.,AV. OSCAR R. BENAVIDES INTERSECCIÓN JR. PRESBITERO GÁSPAR HERNÁNDEZ,,14.75
PUENTE PIEDRA,INVERSIONES ELCHER S.A.C.,AV SANTA ROSA MZ D LTE 1 ASOC. DE PROP. LOS PARRALES DE PUENTE PIEDRA,963903613/990280997,14.8
COMAS,BERLINA CIERTO ROJAS,LOTE 1 SUBLOTE 3 - ZONA G PARCELACION RUSTICA DEL FUNDO CHACRA CERRO,015367370/015434266,14.8
SANTA ROSA,AEROSERVICIOS S.A.C.,CARRETERA PANAMERICANA NORTE KM. 42,966369235,14.8
SAN MARTIN DE PORRES,PETRO SAN MARTIN S.A.C.,"LOTE 2-3 DE LA MANZANA V, URBANIZACIÓN PRO-SÉTIMO SECTOR - PARCELA A",015401560/015400128,14.83
ANCON,SERVICIOS DE COMBUSTIBLES SANTA FE E.I.R.L.,"AA.HH. LAS PALMERAS MZ. C, LT. 14 (ANTES SERPENTÍN DE PASAMAYO KM. 45.9 PANAMERICANA NORTE)",016983211/960690748/996437408,14.85
SAN MARTIN DE PORRES,REPSOL GRIFO SAN DIEGO,AV. SAN DIEGO Nº 1000 Y CALLE SANTA MARIA,969253848/995715559,14.85
SAN MARTIN DE PORRES,INVERSIONES Y SERVICIOS JULIO III SAC,"INTERSECCION AV. CENTRAL Y AV. LAS TORRES MZ. C, LOTES 8, 9, 10 Y 11, ASOC. DE VIVIENDA. SANTA MARIA DE NARANJAL.",,14.85
ATE,COMBUSTIBLES H&S S.R.L.,"AV. NICOLAS AYLLON (EX CARRETERA CENTRAL) S/N MZ. ""B"" LOTES 5 Y 5-A U.C. 10022",012541342/948972357/959971196,14.89
ATE,AHV COMBUSTIBLES S.A.C.,CARRETERA CENTRAL KM 13.650 GLORIA BAJA,,14.89
LA VICTORIA,MAVIE COMBUSTIBLES S.A.C.,AV. BAUZATE Y MEZA ESQ. PROLONGACION HUAMANGA S/N.,013256717/014303019,14.89
LURIGANCHO,SERVICENTRO BERNY S.R.L.,LOTE 6 MZ. G URB. NIEVERIA HUACHIPA,944118156,14.89
LURIGANCHO,GRIFO RANESI SAC,AV. CIRCUNVALACION LT. 34 ASOCIACION DIGNIDAD NACIONAL HUACHIPA - SANTA MARIA DE HUACHIPA,992758380/992758369,14.89
VILLA MARIA DEL TRIUNFO,SERVICENTRO BERNY S.R.L.,"PUEBLO JOVEN JOSE CARLOS MARIATEGUI, ETAPA PRIMERA, AV. JULIO C. TELLO N° 101, MZ. E LOTE 01",012833880,14.89
ANCON,INVERSIONES RAMSAN E.I.R.L.,JR. PEDRO GAREZON N° 500,,14.9
ANCON,NEGOCIOS CORPORATIVOS MB S.A.C.,SUB LOTE A1 ASOCIACIÓN DE PROPIETARIOS INDUSTRIALES PECUARIOS DE ANCON,015319327/924751956/924571956,14.9
SAN JUAN DE LURIGANCHO,EMPRESA DE TRANSPORTES LAS FLORES S.A.,"AV. PROCERES DE LA INDEPENDENCIA MZ. J1 LTS.24,25 Y 26",013920668,14.9
ATE,ESTACION DE SERVICIO VIRGEN DE LAS NIEVES SAC,AV. CARRETERA CENTRAL KM. 13.5,,14.92
LA VICTORIA,SERVICENTRO MALI S.A.C.,JR. HUMBOLDT CON PROLONGACION HUAMANGA N° 619 (BERMA CENTRAL),01555555/957332614/973406411,14.94
LIMA,PUNTO GAS SOCIEDAD ANONIMA CERRADA - PUNTO GAS S.A.C.,"AV. MARISCAL OSCAR R. BENAVIDES N° 1623 - 1657, URB. LA TRINIDAD",013370795/013370795,14.95
ATE,PETRO EXPLORIUM,"CALLE SAN CARLOS RD, MZ. C LOTE 14",994992758,14.95
PUENTE PIEDRA,CONSORCIO EL NORTEÑO S.A.C,CARRETERA PANAMERICANA NORTE KM. 31.7,,14.95
LIMA,SERVICENTRO SHALOM S.A.C.,AV. NACIONES UNIDAS 1222 MZ. K URB. SAN RAFAEL,014256428,14.95
ATE,YE PETROLEUM S.A.C.,"AV. LOS CASTILLOS Nº 340, URB. INDUSTRIAL SANTA ROSA",943736528/901439574,14.96
ATE,SERVICENTRO SMILE S.A.,"CALLE LOS ORFEBREROS N° 129, URB. INDUSTRIAL EL ARTESANO",999086922,14.97
SAN JUAN DE LURIGANCHO,ESTACIONES ARGUELLES S.A.C,"AV. PRINCIPAL (FRANCISCO BOLOGNESI) S/N, MZ. A LOTES 19, 20 Y 21 AA.HH. VILLA CAMPOY",015285237/947958641,14.99
SAN MARTIN DE PORRES,H & P INGENIERÍA LÍQUIDA S.A.C.,"AV. LOS DOMINICOS MZ. U, LT.18 - URBANIZACIÓN LOS CIPRESES",015674005/998161283,14.99
LIMA,GASOLINERAS S.A.C.,AV. 28 DE JULIO 159. ESQUINA CON AV. BRASIL,014246994/981211337/994304437,14.99
JESUS MARIA,ESTACION DE SERVICIOS PASO DE LOS ANDES S.A.C.,AV. BRASIL N° 699,013327122,14.99
CARABAYLLO,COMBUSTIBLES SELECTOS S.A.C.,"MZ. 29 LTS. 11,14,15,16,17 Y 18 NUEVA URBANIZACION TORRE BLANCA 2DA ETAPA",989599589/992509216,14.99
ATE,INVERSIONES PURITA CALIDAD S.R.L.,AV. CIRCUMVALACION MZ. F LT.8,996289340/980846599,14.99
ATE,CONSORCIO PETRO CENTRAL SAC,AV. NICOLAS AYLLON S/N CARRETERA CENTRAL KM. 13 C.P. SAN JUAN DE PARIACHI,,14.99
PUENTE PIEDRA,ASIA GRIFOS Y SERVICIOS GENERALES SOCIEDAD ANONIMA CERRADA,"AV. PUENTE PIEDRA N° 1218 KM. 32, PANAMERICANA NORTE",995714163/936016934,14.99
BREÑA,GRIFO VICTORIA E.I.R.L.,JR. JORGE CHAVEZ 1087 ESQ. JR. OLMEDO N° 498,014240400/014303019,14.99
PUCUSANA,SERVICENTRO JABSA S.A.,AV. LIMA N° 646,014309104/963806398,14.99
VILLA EL SALVADOR,ADA CECILIA MONTERO ZURICHAQUI,"AV JOSE CARLOS MARIATEGUI S/N MZ H, LOTES 16 Y 17, SECTOR III, GRUPO 9",015700604,16.39
VILLA EL SALVADOR,SERVICIOS Y GRIFOS CAMARENA S.A.,"SECTOR 03, GRUPO 19, MZ. M, LOTES. 1, 2, 3 Y 24",012879092/012870055,17.59
VILLA MARIA DEL TRIUNFO,GRIFO EL SOL LAS PALOMAS SAC,AV. EL SOL N° 645,946084381/946084412,17.59
COMAS,FULL OILS PETRO SOCIEDAD ANONIMA CERRADA-FULL OILS PETRO S.A.C.,AV. REVOLUCION N° 783 PRIMERA ZONA - COLLIQUE,014467967,15.59
COMAS,FILSE S.A.C.,AV. METROPOLITANA N° 1905,015369596/992763709,15.59
COMAS,FULL OILS PETRO S.A.C,AV. REVOLUCIÓN N° 2976 5TA ZONA COLLIQUE,992756702/998761149,15.67
ATE,EMPRESA DE SERVICIOS Y TRANSPORTES EL NEGRO E.I.R.L.,"MZ A LT 1,2,3,4,5 Y 6 DEL PROGRAMA DE VIVIENDA Y COMERCIO LAS PRADERAS DE PARIACHI",013592881/996503352,15.69
PUENTE PIEDRA,POWER PETROLEUM COMPANY S.A.C.,"AV. NESTOR GAMBETTA S/N LOTIZACION LEONCIO PRADO, MZ. F, LOTE 83",945208887/955546993,15.69
ATE,ECAMEL S.A.C.,CARRETERA CENTRAL KM. 15.1,013017866,15.7
ATE,INVERSIONES PURITA CALIDAD S.R.L.,AV. CIRCUMVALACION MZ. F LT.8,996289340/980846599,15.75
LURIGANCHO,SAN PEDRO COMBUSTIBLES S.R.L.,CALLE LIMA SUR N° 1529 (EX CARRETERA CENTRAL) PARTE DEL LOTE 43 DEL FUNDO MOYOPAMPA,996186824,15.75
LURIGANCHO,ATS AMERICA SAC,AV. LIMA SUR Nº 895 - CHOSICA,015342336/994038205/977343458,15.77
CHACLACAYO,INVERSIONES Y SERVICIOS MULTIPLES W.R S.A.C,CARRETERA CENTRAL KM. 22.700,943619486/993978502,15.78
COMAS,DISTRIBUIDORA E IMPORTADORA M & G S.A.C.,AV. UNIVERSITARIA KM.14 MZ. A1 LOTE 23 COOPERATIVA PRIMAVERA,,15.79
ATE,PETRO EXPLORIUM,"CALLE SAN CARLOS RD, MZ. C LOTE 14",994992758,15.79
ATE,COMBUSTIBLES H&S S.R.L.,"AV. NICOLAS AYLLON (EX CARRETERA CENTRAL) S/N MZ. ""B"" LOTES 5 Y 5-A U.C. 10022",012541342/948972357/959971196,15.79
CHACLACAYO,GRUPO ARIAS S.A.C.,AV NICOLAS AYLLON N° 1202 Y ESQ AV LAS MAGNOLIAS (CARRETERA CENTRAL KM 25),971423969/998600351,15.79
CHACLACAYO,GRIFO SAN IGNACIO SAC,CARRETERA CENTRAL KM. 20.8,012063230/943413879,15.79
ATE,GRIFO VILLA HERMOSA E.I.R.L.,AV. A SUR CALLE 1 Y CALLE 2 RESIDENCIAL VILLA HERMOSA DE HUAYCAN,014355664/013591901,15.79
PUENTE PIEDRA,GRIFO SAN BARTOLOME E.I.R.L.,"CALLE TACNA ESQUINA CON CALLE ABANCAY MZ. 77, LOTES 1 Y 2, AA.HH. SANTA ROSA",999411623,15.8
ATE,ESTACION DE SERVICIO VIRGEN DE LAS NIEVES SAC,AV. CARRETERA CENTRAL KM. 13.5,,15.8
LURIGANCHO,GRIFOS LOS DELFINES JR,"CARRETERA CENTRAL (AV. LIMA SUR) ESQUINA CON PASAJE JACARANDAES, SUB LOTE 34-B1, B2, B3",994979790,15.85
ATE,CONSORCIO PETRO CENTRAL SAC,AV. NICOLAS AYLLON S/N CARRETERA CENTRAL KM. 13 C.P. SAN JUAN DE PARIACHI,,15.89
PUENTE PIEDRA,J.W. OLIVER S.A.C.,LOTIZACION SEMI RUSTICA LEONCIO PRADO LOTE 108 MZ I,,15.89
LOS OLIVOS,TERPEL PERU SAC,"AV. ALFREDO MENDIOLA N° 6583 – 6585- 6589 – 6593 – 6597 – 6599, DE LOS LOTES 16 Y 17, MZ. 2E, PARCELACIÓN RESIDENCIAL SANTA LUISA II ETAPA",999011355,15.89
ATE,TERPEL PERU S.A.C.,AV. NICOLAS AYLLON N° 10080 (URB. PROGRAMA DE VIVIENDA FHILADELFIA MZ. H LOTE 1),975091672/980265125,15.91
SAN MARTIN DE PORRES,PETRO SAN MARTIN S.A.C.,"LOTE 2-3 DE LA MANZANA V, URBANIZACIÓN PRO-SÉTIMO SECTOR - PARCELA A",015401560/015400128,15.92
LA VICTORIA,MAVIE COMBUSTIBLES S.A.C.,AV. BAUZATE Y MEZA ESQ. PROLONGACION HUAMANGA S/N.,013256717/014303019,15.92
SAN MARTIN DE PORRES,REPSOL GRIFO SAN DIEGO,AV. SAN DIEGO Nº 1000 Y CALLE SANTA MARIA,969253848/995715559,15.93
SAN MARTIN DE PORRES,INVERSIONES Y SERVICIOS JULIO III SAC,"INTERSECCION AV. CENTRAL Y AV. LAS TORRES MZ. C, LOTES 8, 9, 10 Y 11, ASOC. DE VIVIENDA. SANTA MARIA DE NARANJAL.",,15.95
LURIGANCHO,CLARIGO S.A.C.,"AV. LAS FLORES Nº 750, URB. SANTA MARIA",013602151/013601043,15.97
COMAS,ESTACION DE SERVICIOS ESTEL S.A.C.,"AV. UNIVERSITARIA NORTE NRO. 5771 - 5779, URB. SANTA ISOLINA",015250679,15.97
LA VICTORIA,SERVICENTRO MALI S.A.C.,JR. HUMBOLDT CON PROLONGACION HUAMANGA N° 619 (BERMA CENTRAL),01555555/957332614/973406411,15.97
LA VICTORIA,GRIFO SANTA ROSA SA,"AV. BAUZATE Y MEZA N° 800, ESQUINA JR. MENDOZA MERINO",01555555/957332614,15.98
PUENTE PIEDRA,PETRO EXPLORIUM S.A.C.,KM. 25 DE LA CARRETERA PANAMERICANA NORTE,994992758,15.98
SAN JUAN DE LURIGANCHO,ESTACION DE SERVICIO CORAZON DE JESUS S.A.C.,AV. PROCERES DE LA INDEPENDENCIA N° 197-199,013763868/946577457,15.98
ATE,CENTRAL PARIACHI S.A.C.,AV. NICOLAS AYLLON (ANTES CARRETERA CENTRAL) PREDIO SEMI RUSTICO PARIACHI PARCELA 10906,959323728,15.98
SAN MARTIN DE PORRES,H & P INGENIERÍA LÍQUIDA S.A.C.,"AV. LOS DOMINICOS MZ. U, LT.18 - URBANIZACIÓN LOS CIPRESES",015674005/998161283,15.99
SAN JUAN DE LURIGANCHO,EMPRESA DE TRANSPORTES Y SERVICIOS BEA S.A.C.,AA.HH. JOSE CARLOS MARIATEGUI MZ. S-9 LT. 4,959374819,15.99
SAN JUAN DE LURIGANCHO,ESTACION LOS JARDINES EIRL,"AV. PROCERES DE LA INDEPENDENCIA Nº 1015 (MZ. G, LOTE 11 AL 19)",014584556/989308172/973175843,15.99
CHACLACAYO,COESTI S.A.,AV. NICOLAS AYLLON N° 1500,012080100/012033100/954674926,15.99
CARABAYLLO,BECSABETH ROSALIA VILCAPOMA VELAZCO DE FLORES,PARCELA 6 COOPERATIVA AGRARIA MARIA PARADO DE BELLIDO,,15.99
CARABAYLLO,CORPORACION Q & T S.A.C.,AV.T.AMARU KM.22.5 ZONA DE HUACOY - AA.HH. VILLA SAN ANTONIO,015674006/998161283/998151283,15.99
CARABAYLLO,JULIA FIORELLA BERNABEL DAVILA,AV. TUPAC AMARU N° 3603 AA.HH. EL PROGRESO,991679311,15.99
ATE,COESTI SA,"CARRETERA CENTRAL KM. 16 (AV. NICOLAS AYLLON S/N, MZ. A, LOTE 1) PROGRAMA DE VIVIENDA LAS PRADERAS",012033100/978832964/941949574,15.99
ATE,INVERSIONES HM SEÑOR DE MURUHUAY SAC,"AV. ANDRES AVELINO CACERES LT 15, ZONA H, PJ PROYECTO ESPECIAL HUAYCAN",943083859,15.99
ATE,AHV COMBUSTIBLES S.A.C.,CARRETERA CENTRAL KM 13.650 GLORIA BAJA,,15.99
ATE,SERVICIOS MULTIPLES Y TRANSPORTES W.W.C. S.R.L.,CARRETERA CENTRAL KM 14.800 ESQUINA CON AV. GLORIA - GLORIA ALTA,957611432/943619486,15.99
ATE,ESTACION DE SERVICIOS GRIFO DENVER S.R.L.,"CARRETERA CENTRAL SUB PARCELA 8A DE LA PARCELA N°10015 EX FUNDO PARIACHI MZ. A LT. 1 Y 2, PROGRAMA DE VIVIENDA 'LAS PONCIANAS DE PARIACHI'",,15.99
VILLA MARIA DEL TRIUNFO,RAUL HUMBERTO SOLIER REYNOSO,AV. JOSE CARLOS MARIATEGUI N° 3310 ESQ. CON AV. ISIDORO SUAREZ,998322921,15.99
ATE,RAUL TORRES QUIQUIA,"AV. ANDRES AVELINO CACERES ZONA L LOTE 38, 39 Y 40 DEL PUEBLO JOVEN PROYECTO ESPECIAL HUAYCAN",,15.99
ATE,INVERSIONES PACO HUAYCAN S.A.C.,"AV. ANDRES AVELINO CACERES LOTE 9-10, MZ. P, AA. HH. HUAYCAN",999724878/999791374,15.99
COMAS,ROAN INVERSIONES SOCIEDAD ANONIMA CERRADA,"AV.PRLNG. REVOL 3501 MZ.A LT.3,4Y5 AA.HH.SANTA ROSA COLLIQUE",015580940,16.0
PACHANGARA,RIVERA MONZON CONSTANTINO,VIA DE EVITAMIENTO S/N KM 105 + 500 AL 105 + 600,,18.0
OYON,ESTACION DE SERVICIOS VIRGEN DE LA ASUNCION S.A.C.,"CARRETERA P18 KM 133 + 100 – 18 ML, SECTOR ANCUSUTA – URPAY",,18.39
OYON,EMPRESA COMUNAL DE SERVICIOS MULTIPLES OYON - ECOSERMO,"BARRIO MUYUCANCHA APROX. DE 2.1 KM. DESDE OYON POR LA CARRETERA A PAMPAHUAY, VILLA OYON",,18.59
PACHANGARA,RIVERA MONZON CONSTANTINO,VIA DE EVITAMIENTO S/N KM 105 + 500 AL 105 + 600,,17.0
OYON,EMPRESA COMUNAL DE SERVICIOS MULTIPLES OYON - ECOSERMO,"BARRIO MUYUCANCHA APROX. DE 2.1 KM. DESDE OYON POR LA CARRETERA A PAMPAHUAY, VILLA OYON",,17.19
OYON,CORPORACION SAN IGNACIO DE RICALDI SOCIEDAD ANONIMA CERRADA COSAIR S.A.C.,AV. HUANUCO N° 280,,17.2
OYON,ESTACION DE SERVICIOS VIRGEN DE LA ASUNCION S.A.C.,"CARRETERA P18 KM 133 + 100 – 18 ML, SECTOR ANCUSUTA – URPAY",,17.29
No existen registros.,No existen registros.,No existen registros.,No existen registros.,No existen registros.
PACHANGARA,RIVERA MONZON CONSTANTINO,VIA DE EVITAMIENTO S/N KM 105 + 500 AL 105 + 600,,16.95
OYON,ESTACION DE SERVICIOS VIRGEN DE LA ASUNCION S.A.C.,"CARRETERA P18 KM 133 + 100 – 18 ML, SECTOR ANCUSUTA – URPAY",,17.39
OYON,CORPORACION SAN IGNACIO DE RICALDI SOCIEDAD ANONIMA CERRADA COSAIR S.A.C.,AV. HUANUCO N° 280,,17.5
OYON,EMPRESA COMUNAL DE SERVICIOS MULTIPLES OYON - ECOSERMO,"BARRIO MUYUCANCHA APROX. DE 2.1 KM. DESDE OYON POR LA CARRETERA A PAMPAHUAY, VILLA OYON",,17.99
CATAHUASI,VICENTE SANABRIA JOSE STALIN,CASERIO TAMBO ALT. KM 79 CARRETERA CAÑETE - YAUYOS,,18.6
CATAHUASI,VICENTE SANABRIA JOSE STALIN,CASERIO TAMBO ALT. KM 79 CARRETERA CAÑETE - YAUYOS,,17.6
No existen registros.,No existen registros.,No existen registros.,No existen registros.,No existen registros.
CATAHUASI,VICENTE SANABRIA JOSE STALIN,CASERIO TAMBO ALT. KM 79 CARRETERA CAÑETE - YAUYOS,,18.3
